# v3.0 | 20260301 | BIM Template formulas_with_dependencies
Discipline,Parameter_Name,Data_Type,Revit_Formula,Description,Input_Parameters,Unit,Parameter_GUID,Parameter_Description,Dependency_Level,Uses_Builtin_Geometry,Builtin_Inputs
PLUMBING,PLM_PPE_NOMINAL_SZ_INCH_NR,NUMBER,PLM_PPE_SZ_MM / 25.4,Pipe nominal size mm → inches,PLM_PPE_SZ_MM,in,f1c79a9d-17d3-5390-8437-c936024f9dbc,Plm Ppe Nominal Sz Inch Nr [ISO 19650-1:2018],0,False,
PLUMBING,PLM_PPE_SZ_INCH,NUMBER,PLM_PPE_SZ_MM / 25.4,Pipe size in inches for US spec cross-ref,PLM_PPE_SZ_MM,in,4e3628c9-1165-5f72-8289-11aaa613c0ea,Plm Ppe Sz Inch [ISO 19650-1:2018],0,False,
PLUMBING,PLM_SPT_SPACING_M,LENGTH,"if(PLM_PPE_SZ_MM <= 50, 1.2, if(PLM_PPE_SZ_MM <= 100, 1.8, if(PLM_PPE_SZ_MM <= 150, 2.4, 3.0)))",Pipe support spacing by diameter,PLM_PPE_SZ_MM,m,b15dc0b5-7b22-5157-8872-41322064e461,Plm Spt Spacing M [ISO 19650-1:2018],0,False,
PLUMBING,PLM_VNT_SZ_NR,NUMBER,PLM_PPE_SZ_MM * 0.5,Vent pipe size (50% of drain pipe size),PLM_PPE_SZ_MM,mm,b27f8b0d-cd76-54bb-bb37-c97c7580e79d,Plm Vnt Sz Nr [ISO 19650-1:2018],0,False,
REGULATORY,RGL_ACCESS_CLEAR_WIDTH_MM,LENGTH,"if(BLE_DOOR_WIDTH_MM >= 900, BLE_DOOR_WIDTH_MM, 850)",Accessible clear width (min 850mm per Uganda Building Code),BLE_DOOR_WIDTH_MM,mm,0a5c2f46-8c87-53dc-88b4-9a886e0d908e,Rgl Access Clear Width Mm [ISO 19650-1:2018],0,False,
REGULATORY,RGL_ACCESS_RAMP_GRADIENT_CHECK_BOOL,YESNO,"if(RGL_ACCESS_RAMP_RISE_MM / RGL_ACCESS_RAMP_LENGTH_MM <= 0.05, 1, 0)",Ramp gradient compliance: ≤ 1:20 (5%),"RGL_ACCESS_RAMP_RISE_MM, RGL_ACCESS_RAMP_LENGTH_MM",bool,c0848b34-9b80-5dcb-9070-faab589c294e,Rgl Access Ramp Gradient Check Bool [ISO 19650-1:2018],0,False,
REGULATORY,RGL_ACCESS_THRESHOLD_HEIGHT_MM,LENGTH,"if(BLE_DOOR_HEIGHT_MM >= 2100, 0, 2100 - BLE_DOOR_HEIGHT_MM)",Door threshold deficit vs 2100mm minimum,BLE_DOOR_HEIGHT_MM,mm,ec375f69-730f-5b7a-aea3-44f12902f333,Rgl Access Threshold Height Mm [ISO 19650-1:2018],0,False,
REGULATORY,RGL_ACCESS_TURNING_RADIUS_MM,LENGTH,"if(ASS_ROOM_AREA_SQ_M >= 3.24, 1500, 0)",Wheelchair turning radius availability check,ASS_ROOM_AREA_SQ_M,mm,89a66a66-1279-54dd-8b1e-40338509ceb8,Rgl Access Turning Radius Mm [ISO 19650-1:2018],0,False,
REGULATORY,RGL_NATURAL_LIGHT_RATIO_PCT,NUMBER,(RGL_WINDOW_AREA_SQ_M / ASS_ROOM_AREA_SQ_M) * 100,Window-to-floor ratio: glazing area / floor area × 100,"RGL_WINDOW_AREA_SQ_M, ASS_ROOM_AREA_SQ_M",%,4f00be7a-0ce2-5602-9c41-446296a06f89,Rgl Natural Light Ratio Pct [ISO 19650-1:2018],0,False,
REGULATORY,RGL_PARKING_SPACES_REQ_NR,NUMBER,RGL_TOTAL_FLOOR_AREA_SQ_M / RGL_PARKING_PROVISION_M2_NR,Required parking: total floor area / provision rate,"RGL_TOTAL_FLOOR_AREA_SQ_M, RGL_PARKING_PROVISION_M2_NR",spaces,7d870714-b80e-5532-be9d-c976a19ba9d4,Rgl Parking Spaces Req Nr [ISO 19650-1:2018],0,False,
REGULATORY,RGL_PLOT_COVERAGE_PCT,NUMBER,(RGL_BUILDING_FOOTPRINT_SQ_M / RGL_PLOT_AREA_SQ_M) * 100,Plot coverage ratio: footprint / plot area × 100,"RGL_BUILDING_FOOTPRINT_SQ_M, RGL_PLOT_AREA_SQ_M",%,8e694e43-204f-5ad0-a7b2-a47f02a12e58,Rgl Plot Coverage Pct [ISO 19650-1:2018],0,False,
REGULATORY,RGL_PLOT_RATIO_NR,NUMBER,RGL_TOTAL_FLOOR_AREA_SQ_M / RGL_PLOT_AREA_SQ_M,Plot ratio (FAR): total floor area / plot area,"RGL_TOTAL_FLOOR_AREA_SQ_M, RGL_PLOT_AREA_SQ_M",ratio,17e3cd6a-c0e5-5e17-8343-3e847f6356bc,Rgl Plot Ratio Nr [ISO 19650-1:2018],0,False,
REGULATORY,RGL_ROOM_HEIGHT_CHECK_BOOL,YESNO,"if(BLE_CEILING_HEIGHT_MM >= 2700, 1, 0)",Minimum room height check: ≥ 2700mm habitable rooms,BLE_CEILING_HEIGHT_MM,bool,38538cde-cbf3-5b13-a735-078a3e86a291,Rgl Room Height Check Bool [ISO 19650-1:2018],0,False,
REGULATORY,RGL_SETBACK_FRONT_CHECK_BOOL,YESNO,"if(RGL_SETBACK_FRONT_M >= RGL_SETBACK_FRONT_MIN_M, 1, 0)",Front setback compliance check,"RGL_SETBACK_FRONT_M, RGL_SETBACK_FRONT_MIN_M",bool,e2b1241a-d727-542d-89dc-af6fbc749c65,Rgl Setback Front Check Bool [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_SUST_DAYLIGHT_FACTOR_PCT,NUMBER,(PER_SUST_GLAZING_AREA_SQ_M * PER_SUST_TRANSMITTANCE_NR * 0.5) / (ASS_ROOM_AREA_SQ_M * (1 - PER_SUST_AVG_REFLECTANCE_NR)) * 100,Average daylight factor: DF = (Ag × T × MF) / (A × (1-R)) × 100,"PER_SUST_GLAZING_AREA_SQ_M, PER_SUST_TRANSMITTANCE_NR, ASS_ROOM_AREA_SQ_M, PER_SUST_AVG_REFLECTANCE_NR",%,24f4614c-5b0d-5fa9-891a-de2493e4f000,Per Sust Daylight Factor Pct [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_SUST_ENERGY_USE_KWH_M2,NUMBER,PER_SUST_ANNUAL_ENERGY_KWH / ASS_ROOM_AREA_SQ_M,Energy use intensity: EUI = annual kWh / floor area,"PER_SUST_ANNUAL_ENERGY_KWH, ASS_ROOM_AREA_SQ_M",kWh/m²,704b8b7a-44ec-53de-893a-71d465edd07b,Per Sust Energy Use Kwh M2 [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_SUST_NATURAL_VENT_AREA_SQ_M,AREA,ASS_ROOM_AREA_SQ_M * 0.05,Minimum natural ventilation opening: 5% of floor area,ASS_ROOM_AREA_SQ_M,m²,b7a1a704-1490-52fb-9bbf-d6fd672275e7,Per Sust Natural Vent Area Sq M [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_SUST_WATER_HARVEST_L,NUMBER,PER_SUST_ROOF_AREA_SQ_M * PER_SUST_ANNUAL_RAINFALL_MM * 0.8 / 1000,Annual rainwater: V = A × P × runoff_coeff / 1000,"PER_SUST_ROOF_AREA_SQ_M, PER_SUST_ANNUAL_RAINFALL_MM",m³/yr,e5a703db-ad3a-5b0e-92e7-55286b17bcc4,Per Sust Water Harvest L [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_SUST_WTR_RATING_NR,NUMBER,"if(BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL = 1, 4, if(PLM_DRN_PPE_SLOPE_PCT > 0, 3, 2))",Water efficiency rating (1-5 scale),BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL,—,ad07a9e8-e386-5cc1-ad37-864ce06db24f,Per Sust Wtr Rating Nr [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_THERM_R_VALUE_CALC_M2K_W,NUMBER,PER_THERM_THICKNESS_MM / (PER_THERM_CONDUCTIVITY_W_MK * 1000),R-value: R = thickness / (λ × 1000),"PER_THERM_THICKNESS_MM, PER_THERM_CONDUCTIVITY_W_MK",m²K/W,b399dfdb-aaf8-5e13-8f2d-605e18eb2ff9,Per Therm R Value Calc M2K W [ISO 19650-1:2018],0,False,
SUSTAINABILITY,PER_THERM_SOLAR_ABSORPTANCE_NR,NUMBER,"if(BLE_ROOF_CLR_TXT = ""White"", 0.25, if(BLE_ROOF_CLR_TXT = ""Light"", 0.45, 0.70))",Solar absorptance by roof colour,BLE_ROOF_CLR_TXT,—,e931bda5-2342-59fd-9a6e-d7da7c5d473e,Per Therm Solar Absorptance Nr [ISO 19650-1:2018],0,False,
ARCHITECTURAL,BLE_CEILING_FIN_TILE_QTY_NR,NUMBER,BLE_CEILING_AREA_SQ_M * 1.05 / ((BLE_CEILING_GRID_SZ_MM / 1000) ^ 2),Ceiling tile count + 5% wastage,"BLE_CEILING_AREA_SQ_M, BLE_CEILING_GRID_SZ_MM",nr,02e86218-684e-50f6-a23b-d0f517d65766,Ble Ceiling Fin Tile Qty Nr [ISO 19650-1:2018],1,False,
ARCHITECTURAL,BLE_FINISH_PAINT_VOLUME_L,VOLUME,(BLE_FINISH_PAINT_AREA_SQ_M * BLE_FINISH_PAINT_COATS_NR) / 12,Paint volume (12 m²/L/coat),"BLE_FINISH_PAINT_AREA_SQ_M, BLE_FINISH_PAINT_COATS_NR",L,c87e1dfb-af8d-55d6-9f93-07598b9f4093,Ble Finish Paint Volume L [ISO 19650-1:2018],1,False,
ARCHITECTURAL,BLE_FINISH_PLASTER_AREA_SQ_M,AREA,BLE_ELE_AREA_SQ_M,Wall area for plastering,BLE_ELE_AREA_SQ_M,m²,4afc242e-1975-5d43-aa02-41338779d47a,Ble Finish Plaster Area Sq M [ISO 19650-1:2018],1,False,
ARCHITECTURAL,BLE_FINISH_TILE_AREA_SQ_M,AREA,BLE_ELE_AREA_SQ_M * 1.1,Tile area with wastage,BLE_ELE_AREA_SQ_M,m²,0d076f1e-8962-50e2-9a46-c950b1087444,Ble Finish Tile Area Sq M [ISO 19650-1:2018],1,False,
ARCHITECTURAL,BLE_FLR_TILE_QTY_NR,NUMBER,BLE_FLR_AREA_SQ_M * 1.1 / ((BLE_FINISH_TILE_SZ_TXT_W_MM / 1000) ^ 2),Floor tile count + 10% wastage,BLE_FLR_AREA_SQ_M,nr,da8a5092-8b76-50d2-8431-2ee49178446c,Ble Flr Tile Qty Nr [ISO 19650-1:2018],1,False,
ARCHITECTURAL,BLE_WINDOW_WWR_PCT,NUMBER,(BLE_WINDOW_AREA_SQ_M / BLE_ELE_AREA_SQ_M) * 100,Window-to-Wall Ratio %,"BLE_WINDOW_AREA_SQ_M, BLE_ELE_AREA_SQ_M",%,735b9c37-3324-5b46-bc82-4e6c3e5c9432,Ble Window Wwr Pct [ISO 19650-1:2018],1,False,
ARCHITECTURAL,CST_CALC_TILE_M2,AREA,BLE_ELE_AREA_SQ_M * 1.1,Tile area with 10% wastage,BLE_ELE_AREA_SQ_M,m²,834a8478-47fb-402b-b333-3c5ed761c865,Calculated tile area with wastage in square meters [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_BLOCKS_NR,NUMBER,CST_S_MAS_NET_AREA_SQ_M * 12.5 * 1.03,Blocks (12.5/m² + 3% wastage),CST_S_MAS_NET_AREA_SQ_M,nr,ba5d66ec-75db-4135-88d5-be53b118e636,Calculated number of blocks required [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_FASTENERS_NR,NUMBER,BLE_ELE_AREA_SQ_M * 8,Fasteners (8 screws/m²),BLE_ELE_AREA_SQ_M,nr,468502b3-fd75-4a13-8dd5-b1eef375ca61,Calculated number of fasteners [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_PRIMER_LITERS,CURRENCY,BLE_FINISH_PAINT_AREA_SQ_M / 12,Primer (12 m²/L coverage),BLE_FINISH_PAINT_AREA_SQ_M,L,b7205856-0f63-4030-b690-7e7d842732d6,Calculated primer in liters [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_PURLINS_M,LENGTH,(BLE_ELE_AREA_SQ_M / 1.2) * 1.05,Purlin length (1.2m spacing + 5% waste),BLE_ELE_AREA_SQ_M,m,6d5c8f6f-66df-41a9-96fa-e9df5776f656,Calculated purlin length in meters [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_PUTTY_KG,NUMBER,BLE_FINISH_PAINT_AREA_SQ_M * 1.5,Wall putty (1.5 kg/m²),BLE_FINISH_PAINT_AREA_SQ_M,kg,f676b204-2f7d-42b7-b298-41d9d0591107,Calculated putty in kilograms [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_SHEETS_NR,NUMBER,(BLE_ELE_AREA_SQ_M / 3) * 1.15,Roofing sheets (3m²/sheet + 15% wastage),BLE_ELE_AREA_SQ_M,nr,351fc9fb-0b19-451a-ac67-d6b09cf74287,Calculated number of roofing sheets [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_CALC_STEEL_KG,NUMBER,CST_S_CON_VOLUME_CU_M * 90,Steel reinforcement (90 kg/m³),CST_S_CON_VOLUME_CU_M,kg,2e504781-c632-4448-8107-ee2238ddf443,Calculated steel reinforcement in kilograms [ISO 19650-3:2020],1,False,
CONSTRUCTION,CST_S_CON_AGGREGATE_VOLUME_CU_M,VOLUME,CST_S_CON_VOLUME_CU_M * 0.88 * 1.1,Aggregate + 10% wastage,CST_S_CON_VOLUME_CU_M,m³,426e88b6-548f-5c28-adb2-efec4fc47d7f,Cst S Con Aggregate Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_CON_CEMENT_BAGS_NR,NUMBER,CST_S_CON_VOLUME_CU_M * 6.5 * 1440 / 50,"Cement bags (50kg, 1:2:4 mix)",CST_S_CON_VOLUME_CU_M,bags,424e9aac-c0b7-5890-b302-bab5fd5785b3,Cst S Con Cement Bags Nr [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_CON_SAND_VOLUME_CU_M,VOLUME,CST_S_CON_VOLUME_CU_M * 0.44 * 1.3,Sand volume + 30% bulking,CST_S_CON_VOLUME_CU_M,m³,36863979-00ed-54f3-af15-db3364b8316d,Cst S Con Sand Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_CON_VOLUME_WASTAGE_CU_M,VOLUME,CST_S_CON_VOLUME_CU_M * 1.05,Concrete volume + 5% wastage,CST_S_CON_VOLUME_CU_M,m³,c706cb23-0173-5173-b580-4ab217436de3,Cst S Con Volume Wastage Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_EAR_BLINDING_VOLUME_CU_M,VOLUME,BLE_ELE_AREA_SQ_M * 0.05,Blinding concrete (50mm layer),BLE_ELE_AREA_SQ_M,m³,712e8375-b1ae-5dd6-bd56-330faa7a708a,Cst S Ear Blinding Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_EAR_EXCAVATION_VOLUME_CU_M,VOLUME,CST_S_EAR_EXCAVATION_DEPTH_M * BLE_ELE_AREA_SQ_M,Excavation volume = depth × plan area,"CST_S_EAR_EXCAVATION_DEPTH_M, BLE_ELE_AREA_SQ_M",m³,49dcb512-bf7f-5d0c-8ac2-e0baf2829ce6,Cst S Ear Excavation Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_EAR_HARDCORE_VOLUME_CU_M,VOLUME,BLE_ELE_AREA_SQ_M * (CST_S_EAR_HARDCORE_THICKNESS_MM / 1000),Hardcore volume = area × thickness,"BLE_ELE_AREA_SQ_M, CST_S_EAR_HARDCORE_THICKNESS_MM",m³,645c088a-a602-58b9-a7f8-b59984dba6b4,Cst S Ear Hardcore Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_MAS_MORTAR_VOLUME_CU_M,VOLUME,CST_S_MAS_NET_AREA_SQ_M * (CST_S_MAS_WALL_THICKNESS_MM / 1000) * 0.3,Mortar volume (30% of block volume),"CST_S_MAS_NET_AREA_SQ_M, CST_S_MAS_WALL_THICKNESS_MM",m³,587ff8dd-c509-57b6-8538-ad76d70dde31,Cst S Mas Mortar Volume Cu M [ISO 19650-2:2018],1,False,
CONSTRUCTION,CST_S_REI_WEIGHT_WASTAGE_KG,NUMBER,CST_S_REI_WEIGHT_KG * 1.05,Reinforcement + 5% wastage,CST_S_REI_WEIGHT_KG,kg,d9b73a97-fed2-5b86-86ac-0c53f1987157,Cst S Rei Weight Wastage Kg [ISO 19650-2:2018],1,False,
COSTING,CST_CALC_AREA_M2,AREA,BLE_ELE_AREA_SQ_M,Element area reference for cost schedules,BLE_ELE_AREA_SQ_M,m²,a4c93912-d9c4-4a58-a49a-3962fa5a4694,Calculated area in square meters [ISO 19650-3:2020],1,False,
COSTING,CST_S_FRM_CST_TOTAL_UGX_NR,CURRENCY,(CST_S_FRM_PLYWOOD_SHEETS_NR * 120000) + (CST_S_FRM_TIMBER_VOLUME_CU_M * 800000) + (CST_S_FRM_PROPS_QUANTITY_NR * 25000),Formwork cost (plywood + timber + props),"CST_S_FRM_PLYWOOD_SHEETS_NR, CST_S_FRM_TIMBER_VOLUME_CU_M, CST_S_FRM_PROPS_QUANTITY_NR",UGX,ddeda9c6-f78c-56cd-b46d-2f9cfb75e322,Cst S Frm Cst Total Ugx Nr [ISO 19650-2:2018],1,False,
COSTING,CST_TOTAL_COST_UGX,CURRENCY,ASS_CST_TOTAL_UGX_NR,Grand total cost reference,ASS_CST_TOTAL_UGX_NR,UGX,1d11176f-fb0e-4cdc-a320-b98212e8b3dd,Grand total cost in UGX [ISO 19650-3:2020],1,False,
ELECTRICAL,ELC_CBL_AMPACITY_A,ELECTRICAL_CURRENT,ELC_CKT_CUR_A / ELC_CBL_DERATING_FCT_NR,Required ampacity with derating,"ELC_CKT_CUR_A, ELC_CBL_DERATING_FCT_NR",A,4f556c4d-4ae6-5784-9a23-f5787eb9b56e,Elc Cbl Ampacity A [ISO 19650-1:2018],1,False,
ELECTRICAL,ELC_CBL_COND_SZ_SQ_MM,AREA,"if(ELC_CKT_CUR_A <= 15, 2.5, if(ELC_CKT_CUR_A <= 25, 4, if(ELC_CKT_CUR_A <= 35, 6, if(ELC_CKT_CUR_A <= 50, 10, if(ELC_CKT_CUR_A <= 70, 16, 25)))))",Conductor size selection by current,ELC_CKT_CUR_A,mm²,9b26b39e-c900-580a-b4dd-126be741a922,Elc Cbl Cond Sz Sq Mm [ISO 19650-1:2018],1,False,
ELECTRICAL,ELC_CKT_BRK_RATING_A,ELECTRICAL_CURRENT,ELC_CKT_CUR_A * 1.25,Breaker rating = current × 125% safety,ELC_CKT_CUR_A,A,8686e464-9edb-5112-a6a3-d0b7624d12f7,Elc Ckt Brk Rating A [ISO 19650-1:2018],1,False,
ELECTRICAL,ELC_ENERGY_COST_UGX_PA,CURRENCY,ELC_ENERGY_KWH_PA * 750,Annual energy cost (750 UGX/kWh UMEME rate),ELC_ENERGY_KWH_PA,UGX/yr,fe962fba-4285-59c3-90eb-bd4dd678316e,Elc Energy Cost Ugx Pa [ISO 19650-1:2018],1,False,
ELECTRICAL,ELC_PWR_CONNECTED_LOAD_KW,ELECTRICAL_POWER,ELC_CKT_PWR_KW * ELC_DIV_FCT_NR,Connected load after diversity,"ELC_CKT_PWR_KW, ELC_DIV_FCT_NR",kW,5d0e4463-a9c8-5df2-82bc-703c62395bd9,Elc Pwr Connected Load Kw [ISO 19650-1:2018],1,False,
FIRE,FLS_DETECTION_COST_UGX,CURRENCY,FLS_DETECTOR_COUNT_NR * 280000 + (FLS_ALARM_CIRCUIT_COUNT_NR * 850000),Fire detection system cost estimate,"FLS_DETECTOR_COUNT_NR, FLS_ALARM_CIRCUIT_COUNT_NR",UGX,329519d6-e473-54e3-ab24-0753b172baa9,Fls Detection Cost Ugx [ISO 19650-1:2018],1,False,
FIRE,FLS_EVACUATION_TIME_MIN,NUMBER,(FLS_EXIT_TRAVEL_DIST_M / 1.5) + 1.5,Evacuation time (travel + 1.5 min pre-movement),FLS_EXIT_TRAVEL_DIST_M,min,01b593ee-a8c1-5569-957e-1a30b01f2564,Fls Evacuation Time Min [ISO 19650-1:2018],1,False,
FIRE,FLS_SFTY_DEMAND_LPS,NUMBER,(FLS_SFTY_FLW_RATE_LPM_NR * FLS_SFTY_HEADS_OPERATING_NR) / 60,System demand: Q_sys = (Q_head × N_heads) / 60,"FLS_SFTY_FLW_RATE_LPM_NR, FLS_SFTY_HEADS_OPERATING_NR",L/s,bf1cfb0d-e2e4-516a-81d8-cecab400635b,Fls Sfty Demand Lps [ISO 19650-1:2018],1,False,
FIRE,FLS_SFTY_ESCAPE_WIDTH_MM,LENGTH,FLS_SFTY_OCCUPANT_LOAD_NR * 5,Escape route width: W = occupants × 5mm/person (BS 9999),FLS_SFTY_OCCUPANT_LOAD_NR,mm,58a11596-8f8e-5465-b4e3-b5d3c13d6d48,Fls Sfty Escape Width Mm [ISO 19650-1:2018],1,False,
FIRE,FLS_SPRINKLER_COUNT_NR,NUMBER,ASS_ROOM_AREA_SQ_M / FLS_SFTY_COVERAGE_AREA_SQ_M,Sprinklers needed = room area / coverage,"ASS_ROOM_AREA_SQ_M, FLS_SFTY_COVERAGE_AREA_SQ_M",nr,8f7b1530-f2c7-5d12-aead-45913c477491,Fls Sprinkler Count Nr [ISO 19650-1:2018],1,False,
HVAC,HVC_DUCT_FLOWRATE_M3H,VOLUME,HVC_DUCT_AREA_SQ_M * HVC_VEL_MPS * 3600,Airflow Q = A×V×3600,"HVC_DUCT_AREA_SQ_M, HVC_VEL_MPS",m³/h,4715ba3e-adf9-526d-b7d8-e8fa5d529097,Hvc Duct Flowrate M3h [ISO 19650-1:2018],1,False,
HVAC,HVC_EFF_RATIO_NR,NUMBER,HVC_CAP_KW / HVC_PWR_KW,COP = cooling capacity / electrical input,"HVC_CAP_KW, HVC_PWR_KW",COP,f9f3d362-50dc-5880-accb-dcf8fff886b1,Hvc Eff Ratio Nr [ISO 19650-1:2018],1,False,
PLUMBING,PLM_DRN_FLW_RATE_LPS,VOLUME,3.14159 * (PLM_PPE_SZ_MM / 2000) ^ 2 * PLM_DRN_VEL_MPS * 0.5,"Drainage flow (Chezy, 50% full pipe)","PLM_PPE_SZ_MM, PLM_DRN_VEL_MPS",L/s,098dc279-7870-50e9-93c3-5ba1b8ff9a20,Plm Drn Flw Rate Lps [ISO 19650-1:2018],1,False,
PLUMBING,PLM_VLV_CV_VALUE_NR,NUMBER,PLM_PPE_FLW_LPS * 3.6 / (PLM_PSR_KPA ^ 0.5),Valve Cv = flow / sqrt(ΔP),"PLM_PPE_FLW_LPS, PLM_PSR_KPA",Cv,402714bb-5b0a-5aa3-bfb5-b45ff24880bb,Plm Vlv Cv Value Nr [ISO 19650-1:2018],1,False,
REGULATORY,RGL_ACCESS_CLEAR_WIDTH_CHECK_BOOL,YESNO,"if(RGL_ACCESS_CLEAR_WIDTH_MM >= 900, 1, 0)",Doorway width compliance: ≥ 900mm for wheelchair access,RGL_ACCESS_CLEAR_WIDTH_MM,bool,2de42300-5411-5009-9089-368cb409da5d,Rgl Access Clear Width Check Bool [ISO 19650-1:2018],1,False,
REGULATORY,RGL_ACCESS_THRESHOLD_CHECK_BOOL,YESNO,"if(RGL_ACCESS_THRESHOLD_HEIGHT_MM <= 13, 1, 0)",Threshold height compliance: ≤ 13mm,RGL_ACCESS_THRESHOLD_HEIGHT_MM,bool,a49d0a79-58c4-5148-af88-b560d09f7a19,Rgl Access Threshold Check Bool [ISO 19650-1:2018],1,False,
REGULATORY,RGL_ACCESS_TURNING_CHECK_BOOL,YESNO,"if(RGL_ACCESS_TURNING_RADIUS_MM >= 1500, 1, 0)",Turning circle compliance: ≥ 1500mm diameter,RGL_ACCESS_TURNING_RADIUS_MM,bool,34e14443-f8d3-5e24-914c-273c83b0c502,Rgl Access Turning Check Bool [ISO 19650-1:2018],1,False,
REGULATORY,RGL_NATURAL_LIGHT_CHECK_BOOL,YESNO,"if(RGL_NATURAL_LIGHT_RATIO_PCT >= 10, 1, 0)",Natural light compliance: window/floor ratio ≥ 10%,RGL_NATURAL_LIGHT_RATIO_PCT,bool,0a74f3c5-8d35-5224-bf1e-061a3b650d27,Rgl Natural Light Check Bool [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_ACOUSTICS_REVERBERATION_TIME_SEC_NR,NUMBER,0.161 * ASS_ROOM_VOLUME_CU_M / (BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR * BLE_CEILING_AREA_SQ_M + 1),Sabine RT60 = 0.161×V / (NRC×S),"ASS_ROOM_VOLUME_CU_M, BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR, BLE_CEILING_AREA_SQ_M",s,93f8cf2e-0df2-5468-a74d-ca7d6cfd0e3e,Per Acoustics Reverberation Time Sec Nr [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_ACOUSTICS_RT60_CALC_SEC,NUMBER,0.161 * ASS_ROOM_VOLUME_CU_M / PER_ACOUSTICS_TOTAL_ABSORPTION_M2,Sabine reverberation time: RT60 = 0.161 × V / A,"ASS_ROOM_VOLUME_CU_M, PER_ACOUSTICS_TOTAL_ABSORPTION_M2",s,7cfd8576-763f-5653-87b8-cafb0fc30d34,Per Acoustics Rt60 Calc Sec [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_SUST_EMBODIED_CARBON_KG,NUMBER,BLE_ELE_AREA_SQ_M * PER_SUST_CARBON_FACTOR_KG_M2,Embodied carbon: EC = area × carbon factor,"BLE_ELE_AREA_SQ_M, PER_SUST_CARBON_FACTOR_KG_M2",kgCO₂e,ed612809-4c14-5c13-a1a6-95dcd888e9fc,Per Sust Embodied Carbon Kg [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_SUST_RECYCLED_CONTENT_PCT,NUMBER,"if(CST_S_REI_WEIGHT_KG > 0, 25, 0)",Recycled content % (rebar ~25% recycled steel),CST_S_REI_WEIGHT_KG,%,80a82dc5-44df-5b4f-bbe9-5304201c97db,Per Sust Recycled Content Pct [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_THERM_R_VALUE_M2K_W,NUMBER,1 / BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR,Thermal resistance R = 1/U,BLE_WALL_THERMAL_TRANSMITTANCE_U_VALUE_W_M_2K_NR,m²K/W,b1c30510-64ad-5de7-a201-043bddb89459,Per Therm R Value M2k W [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_THERM_SOLAR_HEAT_GAIN_W,NUMBER,BLE_ELE_AREA_SQ_M * PER_THERM_SOLAR_ABSORPTANCE_NR * PER_THERM_SOLAR_IRRADIANCE_W_M2,Solar heat gain: Q = A × α × I,"BLE_ELE_AREA_SQ_M, PER_THERM_SOLAR_ABSORPTANCE_NR, PER_THERM_SOLAR_IRRADIANCE_W_M2",W,d7e32d4c-44ad-5845-9184-c63a6bee567d,Per Therm Solar Heat Gain W [ISO 19650-1:2018],1,False,
SUSTAINABILITY,PER_THERM_THERMAL_MASS_KJ_M2K_KJ,NUMBER,CST_S_CON_VOLUME_CU_M * 2400 * 0.88 / BLE_ELE_AREA_SQ_M,Thermal mass of concrete slab per m² of floor,"CST_S_CON_VOLUME_CU_M, BLE_ELE_AREA_SQ_M",kJ/m²K,e5fa3923-e154-57a2-bd70-d03b876120d5,Per Therm Thermal Mass Kj M2k Kj [ISO 19650-1:2018],1,False,
