TypeCode,TypeName,Category,AssetType,Manufacturer,ModelNumber,WarrantyDurationYears,ReplacementCostGBP,ExpectedLifeYears,DurationUnit,MaintenanceFreqMonths,Description,Material,Finish,SFG20Code,UniclassCode,RevitCategory,StingDiscCode,StingSysCode,StingFuncCode,StingProdCode,CostRateCode
CEQ-MORT-FRG,Mortuary Refrigerator,Mortuary,Fixed,Generic,MORT-FRG-04,8,18000,20,year,6,4-body mortuary refrigerator (HBN 16),Stainless Steel,Brushed,3-MED-60,Pr_75_50_28,Specialty Equipment,H,GEN,STD,MORT-FRG,CEQ-MORT
CEQ-POST-MTBL,Post-Mortem Table,Mortuary,Fixed,Generic,POST-MTBL-01,15,9500,25,year,6,Post-mortem examination table (HBN 16),Stainless Steel,Brushed,3-MED-61,Pr_75_50_28,Specialty Equipment,H,GEN,STD,POST-MTBL,CEQ-MORT
CEQ-INC,Neonatal Incubator,Maternity,Moveable,Generic,INC-01,2,18500,10,year,3,Neonatal incubator (HBN 09-03),Composite,N/A,3-MED-70,Pr_75_50_28,Medical Equipment,H,GEN,STD,INC,CEQ-NEONAT
CEQ-WCT,Warming Cot,Maternity,Moveable,Generic,WCT-01,2,2400,10,year,12,Warming cot,Composite,N/A,3-MED-71,Pr_75_50_28,Medical Equipment,H,GEN,STD,WCT,CEQ-NEONAT
CEQ-HBO,Hyperbaric Chamber,Specialty,Fixed,Generic,HBO-MULTI,15,420000,30,year,3,Multi-place hyperbaric oxygen chamber (NFPA 99 Ch.14),Steel,N/A,3-MED-80,Pr_75_50_28,Medical Equipment,H,GEN,STD,HBO,CEQ-HBO
CEQ-USP797-ISO,USP <797> Sterile Isolator,Pharmacy,Fixed,Generic,ISO-797-01,5,28000,15,year,3,USP <797> compounding isolator,Stainless Steel,N/A,3-MED-90,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-PHARM
CEQ-USP800-CPEC,USP <800> C-PEC,Pharmacy,Fixed,Generic,CPEC-800-01,5,42000,15,year,3,USP <800> Class II BSC / CACI,Stainless Steel,N/A,3-MED-90,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-PHARM
CEQ-IVF-LF,IVF Laminar Flow Workstation,Specialty,Fixed,Generic,IVF-LF-01,5,38000,15,year,3,IVF / ART laminar flow workstation,Stainless Steel,N/A,3-MED-91,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-PHARM
CEQ-CYTO-HOOD,Cytotoxic Hood,Pharmacy,Fixed,Generic,CYTO-01,5,32000,15,year,3,Cytotoxic compounding hood (USP <800>),Stainless Steel,N/A,3-MED-90,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-PHARM
CEQ-FUME-PATH,Pathology Fume Hood,Lab,Fixed,Generic,FH-PATH-01,8,12000,20,year,6,Pathology fume hood,Stainless Steel,N/A,3-MED-92,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-LAB
CEQ-BSC-2,Biosafety Cabinet Class II,Lab,Fixed,Generic,BSC-2-01,5,18500,15,year,3,Class II BSC,Stainless Steel,N/A,3-MED-93,Pr_75_50_28,Medical Equipment,H,GEN,STD,ISO-USP,CEQ-LAB
CEQ-ENDO-REPRO,Endoscope Reprocessor,Decon,Fixed,Generic,ENDO-AER-01,5,28000,15,year,3,Endoscope reprocessor (HTM 01-06),Stainless Steel,N/A,3-MED-94,Pr_75_50_28,Medical Equipment,H,GEN,STD,WD,CEQ-ENDO
CEQ-RTLS,RTLS Reader,IT,Fixed,Generic,RTLS-RDR-01,3,1100,10,year,12,RTLS reader (RFID/BLE/UWB),ABS,N/A,3-MED-95,Pr_70_55_38,Specialty Equipment,H,GEN,STD,NCS,CEQ-RTLS
CEQ-CRT,Crash Cart,Clinical Equipment,Moveable,Generic,CRT-01,5,3200,10,year,12,Resuscitation crash cart,Painted Steel,N/A,3-MED-100,Pr_75_50_29,Specialty Equipment,H,GEN,STD,CRT,CEQ-CART
CEQ-HRD,Hand-Rub Dispenser,Clinical Equipment,Fixed,Generic,HRD-01,5,80,10,year,12,Wall hand-rub dispenser,ABS,N/A,3-MED-101,Pr_75_50_29,Specialty Equipment,H,GEN,STD,HRD,CEQ-HRD
VLV-PRV,Pressure Reducing Valve,Plumbing,Fixed,Generic,PRV-01,10,650,25,year,12,Pressure reducing valve BS EN 1567,Brass DZR,N/A,3-26-15,Pr_70_65_98_64,Pipe Accessories,P,DCW,SUP,PRV,VLV-PRV
VLV-RPZ,Reduced Pressure Zone Backflow Preventer,Plumbing,Fixed,Generic,RPZ-01,5,1850,15,year,12,RPZ Type BA backflow preventer BS EN 12729,Bronze,N/A,3-26-15,Pr_70_65_98_64,Pipe Accessories,P,DCW,SUP,RPZ,VLV-RPZ
VLV-BFP,Backflow Preventer Check Valve,Plumbing,Fixed,Generic,DCV-01,10,180,20,year,24,Double check valve EB BS EN 13959,Brass DZR,N/A,3-26-15,Pr_70_65_98_64,Pipe Accessories,P,DCW,SUP,DCV,VLV-BFP
TNK-RWH,Rainwater Harvesting Tank,Plumbing,Fixed,Generic,RWH-TNK-01,10,3500,40,year,12,Below-ground RWH storage tank BS 8515,GRP,N/A,3-26-50,Pr_75_50_72,Plumbing Fixtures,P,RWH,RWH,TNK,TNK-RWH
EQP-SOFTENER,Water Softener,Plumbing,Fixed,Generic,WS-01,5,2400,15,year,6,Twin-tank ion-exchange water softener,Polyethylene,N/A,3-26-65,Pr_70_70_98,Mechanical Equipment,P,DCW,TRT,WSF,EQP-WSF
EQP-UV,UV Steriliser Unit,Plumbing,Fixed,Generic,UV-01,2,1850,10,year,12,UV steriliser for water treatment,Stainless 316L,N/A,3-26-65,Pr_70_70_98,Mechanical Equipment,P,DCW,TRT,UVS,EQP-UVS
EQP-HX,Heat Exchanger Plate Frame,Plumbing,Fixed,Generic,HX-PHE-01,10,4200,25,year,12,Plate heat exchanger DHW primary/secondary,Stainless 316L,N/A,3-26-30,Pr_70_70_29,Mechanical Equipment,P,DHW,HTG,HXP,EQP-HXP
PMP-BOOSTER,Booster Pump Set Packaged,Plumbing,Fixed,Generic,BPS-DD-01,10,12500,15,year,6,Duty/standby boosted cold water pump set,Stainless 316L,N/A,3-26-26,Pr_75_50_72_30,Mechanical Equipment,P,DCW,SUP,BPS,PMP-BPS
EQP-RO,Reverse Osmosis Unit,Plumbing,Fixed,Generic,RO-01,5,8500,15,year,3,RO unit for lab / dialysis water HTM 04-01 Part D,Stainless 316L,N/A,3-26-65,Pr_70_70_98,Mechanical Equipment,P,LBW,LAB,ROU,EQP-RO
